,moves,year_id,month,day,road_type_id,road_desc,source_type_id,source_type_name,fuel_type_id,fuel_type_desc,pollutant_id,pollutant_short_name,avg_speed_bin_id,avg_bin_speed,avg_speed_bin_desc,rate_per_distance,per_diff
0,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,2,CO,1,2.5,speed < 2.5mph,6.94286842,53.86
1,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,2,CO,1,2.5,speed < 2.5mph,10.682051790000001,53.86
2,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,2,CO,2,5.0,2.5mph <= speed < 7.5mph,4.09197672,52.85
3,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,2,CO,2,5.0,2.5mph <= speed < 7.5mph,6.25445062,52.85
4,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,2,CO,3,10.0,7.5mph <= speed < 12.5mph,2.69020818,53.23
5,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,2,CO,3,10.0,7.5mph <= speed < 12.5mph,4.12221243,53.23
6,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,2,CO,4,15.0,12.5mph <= speed < 17.5mph,2.26877915,57.32
7,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,2,CO,4,15.0,12.5mph <= speed < 17.5mph,3.5693551,57.32
8,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,2,CO,5,20.0,17.5mph <= speed <22.5mph,2.06792476,59.41
9,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,2,CO,5,20.0,17.5mph <= speed <22.5mph,3.29639323,59.41
10,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,2,CO,6,25.0,22.5mph <= speed < 27.5mph,1.9009579829999999,57.07
11,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,2,CO,6,25.0,22.5mph <= speed < 27.5mph,2.9857717900000003,57.07
12,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,2,CO,7,30.0,27.5mph <= speed < 32.5mph,1.784207304,54.8
13,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,2,CO,7,30.0,27.5mph <= speed < 32.5mph,2.76192546,54.8
14,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,2,CO,8,35.0,32.5mph <= speed < 37.5mph,1.666446104,51.62
15,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,2,CO,8,35.0,32.5mph <= speed < 37.5mph,2.52665318,51.62
16,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,2,CO,9,40.0,37.5mph <= speed < 42.5mph,1.5747984689999999,48.77
17,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,2,CO,9,40.0,37.5mph <= speed < 42.5mph,2.34286766,48.77
18,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,2,CO,10,45.0,42.5mph <= speed < 47.5mph,1.50351142,46.32
19,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,2,CO,10,45.0,42.5mph <= speed < 47.5mph,2.19992337,46.32
20,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,2,CO,11,50.0,47.5mph <= speed < 52.5mph,1.459358473,44.99
21,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,2,CO,11,50.0,47.5mph <= speed < 52.5mph,2.1158896900000004,44.99
22,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,2,CO,12,55.0,52.5mph <= speed < 57.5mph,1.426661479,44.06
23,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,2,CO,12,55.0,52.5mph <= speed < 57.5mph,2.05519815,44.06
24,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,2,CO,13,60.0,57.5mph <= speed < 62.5mph,1.4201881150000002,42.41
25,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,2,CO,13,60.0,57.5mph <= speed < 62.5mph,2.0225511800000002,42.41
